"Feature","Feature.Systematic.Name","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","buds"
"UBP3","YER151C",37.25586547,36.98884603,36.50503852,35.78788449,34.55675618,33.19165977,32.20403142,32.47873192,33.52375552,35.05373499,37.70316788,41.80602702,58.07335233,57.41894999,56.61190128,55.33033613,53.20070291,53.95082391,51.06788472,48.41897559,48.16958361,49.29299955,49.83074387,48.90822975,27.6615384615385
"DOT5","YIL010W",58.00092143,58.01802515,58.98572023,60.22245885,65.03553095,63.89045295,63.13904623,66.83924142,61.84039023,58.5032742,55.85898342,55.5512362,56.10132013,56.93203301,57.8725626,58.95935079,59.76386525,62.23559296,66.09160855,68.20091303,62.64040801,56.28430648,52.49034065,55.20835842,27.6590909090909
"YBR242W","YBR242W",64.39945476,65.36515839,66.2101601,66.88918789,67.28391418,67.06734667,66.40775826,64.90417888,66.76160825,66.36001124,64.19031271,58.60716517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.65
"YGL082W","YGL082W",43.28214325,41.52962166,39.67481634,37.84777237,35.39179857,34.73146512,35.22822253,38.88046295,35.70192086,31.72612276,25.90016462,18.04735413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.64
"KIN2","YLR096W",21.35138781,21.40412337,21.41681684,21.41823498,21.34345209,21.42134237,21.05769937,19.22722332,18.85516064,19.13187461,20.1009733,22.09651416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.64
"YNL043C","YNL043C",236.3615141,242.1435496,249.6983618,258.5263246,273.8217187,280.0125563,284.1191536,284.077338,302.0654754,311.2257181,313.0841863,298.9727733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.64
"PMT2","YAL023C",114.5678174,114.000429,112.9136344,111.4672621,108.1766011,106.715107,105.8922838,107.0056824,106.5078302,107.6293051,110.7710561,117.4968078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6279069767442
"IML3","YBR107C",37.932549,37.11696547,36.05026594,34.78918847,32.95436415,31.35340939,30.72839802,32.62707954,36.01512845,38.36463153,40.53950729,41.51904023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"BUD31","YCR063W",8.334774722,8.61038076,8.816837129,8.80234256,8.78308869,7.644018037,6.277884563,4.60139624,5.128594915,5.695987377,6.776271032,8.138218663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"TGL2","YDR058C",19.40962038,19.62586179,19.96427673,20.18408385,21.10979747,19.88893822,18.53430135,18.05264568,17.04354307,16.50609453,16.5530006,17.50586043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"THI74","YDR438W",15.67274633,15.61500467,15.49236884,15.2149672,14.988105,13.78594241,12.75112187,12.70051065,13.86076073,14.63091514,15.46246482,15.87977038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"YDR521W","YDR521W",7.270268045,7.138754021,7.112612063,7.176698131,7.627208758,7.974186759,7.906933949,6.23039524,5.436134306,4.993077642,4.673970433,4.470038244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"MNT3","YIL014W",25.85068399,26.26389492,26.76169177,27.23590488,28.15956893,27.94123187,27.11225238,25.12297457,24.33989354,23.31325565,21.97518503,20.01300299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"FAA3","YIL009W",11.9092214,12.05012229,12.22838015,12.43132851,12.83623785,12.89656385,12.87749367,12.88876767,12.8713924,12.49393251,11.7785869,10.5802857,6.834755901,6.996115534,7.242803411,7.615898543,8.168250524,8.983905195,9.29835601,9.618379274,9.935817798,9.474093125,8.758804171,7.879170543,27.6
"YER046W-A","YER046W-A",11.97599813,12.4217158,13.03959767,13.85619022,15.02562038,15.95357811,17.39353253,21.06859537,22.35425636,22.42634601,21.0679628,17.71615247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
"SPR6","YER115C",53.69104319,52.66539609,51.49134075,50.27775416,48.20969013,48.00106434,49.24062284,53.93124408,53.65035348,53.54519253,53.45461582,54.03933441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6
