"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3"
"LYS4",5.60063470820814,-0.00415531535443092,-0.565077230931399,-0.547233533333987,-0.518356662235849,-0.4615335157038,-0.359087482053638,-0.326046082315797,-0.196571637507958,0.179124485520343,0.703866128194828,0.904095880061875,0.741926417691208,-0.0977156526574518
"DOT5",1.1158593375214,-0.00245455732001531,-0.0128272526372915,-0.0641880824039916,-0.0383263804912321,0.00206021884342117,0.37723993211355,0.118468975978468,-0.193538662315666,0,-0.0889123310327872,0.0200286460131411,0.027263206740438,-0.17300564895141
"IGO1",2.39200181613085,-0.00508244680131356,-0.317185763005696,-0.314785760041177,-0.281162399578721,-0.223461448418766,-0.0727769630407235,0.12749042009125,0.17601441725059,0.152083301361602,0.00143267560038163,0,0.154756516667819,0.570852151074121
"SKI6",6.54554591479475,0.000478613821891662,-0.420771534228678,-0.513482164613632,-0.597272228180609,-0.596339221084177,-0.689842704381584,0.208562802855379,0.856223201847145,0.520724698499001,-0.340579414795264,-0.688850684907718,-0.79037298068107,-0.322524278720494
"BMH1",1.13480126880223,0.00322150013658591,0,-0.0085407929735507,-0.0027155353607401,0.0442961552439251,0.130747072839289,0.180282583903195,0.205481037286212,0.365531418592773,0.131185511418115,0.0290728597152877,-0.03694830146914,0
"YPD1",3.96681412389135,-6.33005214488907e-05,0.40212607394161,0.384974436888738,0.331373164622905,0.2466968322504,0.0730757850508312,-0.139116143002927,-0.30664402055743,-0.485569232447945,-0.59333528923964,-0.583589564046944,-0.420313581841983,0
"IES3",7.97504819117862,-0.00294984230102493,1,0.890838841250147,0.775769449581082,0.649083423366814,0.580247692960121,0.409067946934767,0.0634740879760285,-0.399472876972202,-0.717811274872438,-0.832950343199948,-0.855832896671175,-0.800499357393893
"SEC16",3.50943744693992,0.00947517906376371,0.070503711785698,-0.0899204560123922,-0.25373455671099,-0.392377681478262,-0.589602123456599,-0.339536834805188,-0.0475217371137763,0.479345358379425,0.495888345621705,0.459085605149849,0.291921036426035,0
"TAF12",5.07996645694395,0.0047789375178317,0.664529865118124,0.425706677301445,0.191030397559224,-0.0801926761688155,-0.299681437663756,-0.384500251780456,-0.677021311879485,-0.787998244168895,-0.673498340582583,-0.193920473612289,0.245331027749428,0.456555753359449
"LNP1",1.41870009745662,0.00575685274899611,0.146148408527718,0.154418533814511,0.151172025133626,0.135407872266304,0.0985306786685074,-0.0168605161480297,0,-0.00907945236943764,0.161238572183674,0.278580282249117,0.267263756095698,0
"BCH1",5.70176622557351,-0.00251210627193157,1,0.796685753379781,0.559572452585444,0.295640484551095,-0.0725146775384952,-0.233756727912035,-0.170020913973044,0.119219311965506,-0.394452606192384,-0.685272541003893,-0.808769601361942,-0.565861155109887
"RPB11",4.08775862824772,0.00374234540498709,0,-0.270096856273911,-0.432486043340665,-0.523930131239488,-0.266650611537628,0.397888242702125,0.582531668294676,0.167667917685845,-0.390904602254361,-0.550965601298751,-0.469121534327225,0.0355154192930413
"MET22",4.84703488555651,-0.00501830828206444,-0.37406652348605,-0.481335454244571,-0.569912974524202,-0.60863681135032,-0.577132517924501,-0.383237020160274,-0.212264973972966,-0.0540982731852539,0.0124699970319736,0.201931845547018,0.477600846617129,0.894347647512247
"AVL9",0.633664073866415,0.0107756032073678,0.0213561493062864,0.0262344928186341,0.0202818164145889,-0.0052417442182644,-0.0975758271994788,-0.0343060993901549,0.0283217312122996,0.175359896783916,0.104918571305192,0.0811558441358259,0.0389119010817738,0
