Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
ERV25,YML012W,290.01,289.17,288.84,288.46,289.76,287.48,285.11,285.13,276.01,275.03,280.81,299.07,244.21,231.97,218.77,200.97,176.94,180.90,182.53,193.93,212.39,226.49,250.08,288.63,0.84,0.80,0.76,0.70,0.61,0.63,0.64,0.68,0.77,0.82,0.89,0.97,0.61,0.97,0.35,1.58,,,32.14
CAF40,YNL288W,44.56,42.90,40.77,38.50,34.63,33.57,34.27,39.25,41.50,40.50,36.64,28.19,3.77,3.48,3.22,2.95,2.76,3.18,3.16,2.93,2.14,1.44,0.93,0.90,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.09,0.07,3.75,,,32.13
BUD20,YLR074C,305.34,305.61,302.39,297.31,279.89,276.55,280.54,303.09,328.74,319.97,281.65,193.69,10.99,11.06,11.00,10.63,9.26,9.86,10.71,11.53,10.91,9.73,8.50,7.72,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.04,0.01,1.32,,,32.08
GRH1,YDR517W,56.39,55.15,54.10,53.13,52.49,51.43,52.42,61.09,57.72,55.92,54.78,56.44,7.37,7.24,7.26,7.43,7.91,9.58,9.94,9.93,9.11,9.87,11.21,13.44,0.13,0.13,0.13,0.14,0.15,0.19,0.19,0.16,0.16,0.18,0.20,0.24,0.13,0.24,0.11,1.82,,,32.08
YCK2,YNL154C,104.86,103.40,101.53,99.52,96.10,95.33,95.15,95.86,93.89,90.97,86.81,81.26,85.84,87.04,88.54,90.45,92.66,96.21,98.16,98.62,94.86,90.86,85.49,79.01,0.82,0.84,0.87,0.91,0.96,1.01,1.03,1.03,1.01,1.00,0.98,0.97,0.82,1.03,0.21,1.26,,,32.00
LYS2,YBR115C,101.62,101.39,101.00,100.51,99.38,99.01,98.75,98.59,98.45,98.72,99.39,100.66,772.66,770.16,774.73,789.49,828.95,864.50,892.73,913.69,908.62,928.69,948.30,963.49,7.60,7.60,7.67,7.85,8.34,8.73,9.04,9.27,9.23,9.41,9.54,9.57,7.60,9.57,1.98,1.26,,,32.00
UFD4,YKL010C,14.07,14.22,14.55,15.02,16.12,16.66,17.06,17.24,17.20,16.79,15.83,14.08,20.36,20.70,21.25,22.24,24.15,24.90,24.72,24.28,24.61,24.98,23.85,19.90,1.45,1.46,1.46,1.48,1.50,1.49,1.45,1.41,1.43,1.49,1.51,1.41,1.41,1.51,0.10,1.07,,,32.00
RNR3,YIL066C,4.11,4.09,4.05,4.02,3.85,3.95,4.12,4.44,4.46,4.64,4.94,5.52,8.71,8.60,8.64,8.80,9.13,10.94,11.56,11.68,10.43,11.07,12.82,16.46,2.12,2.10,2.13,2.19,2.37,2.77,2.81,2.63,2.34,2.39,2.60,2.98,2.10,2.98,0.88,1.42,,,31.97
MET10,YFR030W,65.83,58.53,49.34,39.50,23.68,19.31,19.67,28.59,27.78,25.54,22.72,20.29,1401.21,1412.86,1434.15,1470.33,1534.39,1598.30,1655.32,1684.55,1627.43,1611.31,1606.34,1628.03,21.29,24.14,29.07,37.22,64.79,82.77,84.13,58.93,58.58,63.09,70.71,80.23,21.29,84.13,62.85,3.95,,,31.86
CBC2,YPL178W,95.63,96.03,96.47,96.78,97.95,97.06,93.52,81.39,81.57,87.07,98.75,118.35,51.34,45.86,39.59,31.20,20.19,15.44,13.44,16.18,25.98,29.87,26.58,10.10,0.54,0.48,0.41,0.32,0.21,0.16,0.14,0.20,0.32,0.34,0.27,0.09,0.09,0.54,0.45,6.29,,,31.80
CDC10,YCR002C,83.14,82.32,81.09,79.24,77.13,72.54,67.84,64.95,62.75,60.38,58.74,58.01,67.43,64.95,61.89,57.57,51.00,48.77,49.29,50.99,52.42,57.75,64.67,73.19,0.81,0.79,0.76,0.73,0.66,0.67,0.73,0.79,0.84,0.96,1.10,1.26,0.66,1.26,0.60,1.91,,,31.80
TVP18,YMR071C,91.39,90.90,91.98,93.99,101.24,103.33,103.09,96.84,86.81,84.25,86.35,96.86,21.12,21.00,20.92,20.94,21.31,21.10,21.13,21.11,21.35,21.41,21.54,21.78,0.23,0.23,0.23,0.22,0.21,0.20,0.21,0.22,0.25,0.25,0.25,0.22,0.20,0.25,0.05,1.24,,,31.80
MRPS28,YDR337W,37.82,39.34,40.87,42.09,43.79,42.32,39.41,34.79,32.44,31.16,31.19,33.28,8.30,8.46,8.57,8.67,8.75,8.10,7.43,6.81,6.98,6.71,6.13,5.00,0.22,0.22,0.21,0.21,0.20,0.19,0.19,0.20,0.22,0.22,0.20,0.15,0.15,0.22,0.07,1.46,,,31.74
SKI2,YLR398C,14.21,13.78,13.20,12.56,11.38,11.09,11.16,12.12,11.93,11.95,12.19,12.98,9.87,8.71,7.67,6.59,5.82,6.39,6.83,7.42,6.78,6.48,5.55,3.48,0.69,0.63,0.58,0.52,0.51,0.58,0.61,0.61,0.57,0.54,0.46,0.27,0.27,0.69,0.43,2.59,,,31.52
MET3,YJR010W,135.29,122.20,104.87,84.91,52.54,34.48,29.20,58.58,66.76,66.70,63.28,54.65,1287.90,1310.07,1338.15,1376.21,1422.96,1486.35,1508.72,1511.33,1470.62,1450.28,1457.93,1524.87,9.52,10.72,12.76,16.21,27.08,43.11,51.66,25.80,22.03,21.74,23.04,27.90,9.52,51.66,42.14,5.43,,,31.51
