"ORF","Feature","AvgLife","Slope","AntiProb","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H7.8","H72.3"
"YJR001W","AVT1",28.36,-0.345513737984403,0,0.0932409203349887,0.0979295906489062,0.101991074045621,0.105157546473446,0.0916504753942583,0.0938725020332947,0.0912277890669386,0.114151728416683,0.114196353676708,0.095671134128578,0.088318250775676,0.0427564764994671
"YLR250W","SSP120",26,-0.327224427584896,0,1.26829516671023,1.1941367103719,1.03493242309937,0.69791304123778,0.614192817467562,0.623416637357947,0.806474130253424,1.16375445227778,1.19969703163239,1.02201734819699,1.28356880964549,0.614505170779115
"YNR006W","VPS27",28.5294117647059,-0.278629078763249,0,1.19500737047779,1.18548960504807,1.18597967977425,1.21080049577602,1.48485119102584,1.57125988649802,1.33641576724633,1.01361854234706,0.866206341520921,0.862173816275772,1.22444531118331,1.36240967227203
"YMR015C","ERG5",25.9333333333333,-0.252250614563426,0,0.733728344831575,0.739902533571862,0.748664099735095,0.775128914929976,0.829003151601803,0.864183024893192,0.867533650701639,0.795593601494453,0.736190443761958,0.689561835961897,0.735609127950602,0.680692765374218
"YNR030W","ALG12",18.2613636363636,-0.160523068163063,1,0.400229379829897,0.417773547884229,0.441061899692723,0.479867981864289,0.484912280958803,0.476198722852796,0.432533439260155,0.390219701303817,0.383689158627326,0.396097441703746,0.385861527287304,0.431972826725059
"YLL028W","TPO1",25.875,-0.115004532497708,0,0.0288040065281781,0.0291041191485444,0.0305590824784086,0.034941840951357,0.038489227228083,0.0399311194672206,0.0391259109693328,0.0383664951590122,0.0365468687664773,0.0309939994685419,0.0292629251126848,0.0200643842792757
"YGL056C","SDS23",27.8,-0.107481079748124,1,0.128588893393406,0.12371776817064,0.119189776953642,0.113477298739639,0.12075649145874,0.116512671415623,0.1227063270421,0.121567421258526,0.119786109997346,0.120362268308793,0.133923809620218,0.129301466747596
"YKR035W-A","DID2",26.4883720930233,-0.0784197566621606,0,0.313591661817349,0.287328531612857,0.259967409899017,0.221312809293625,0.233980908770365,0.276612695761885,0.356880828765475,0.412786765683892,0.404499564935851,0.328480459492437,0.337252897581043,0.119849120059115
"YDR071C","PAA1",20,-0.0716185801485882,0,1.38419817914143,1.20962300653127,0.945882623734311,0.508757756990599,0.346806257408835,0.404743322135069,0.66378205026847,1.1549662279643,1.35049918934469,1.27770012458613,1.51814043373093,0.808965859098705
"YOR085W","OST3",25.8769230769231,0.00275232459038465,1,1.1160317153132,1.15812006535629,1.20461132240998,1.23725774072636,1.33237043893276,1.41885582321034,1.44613555203133,1.35119599750077,1.2697148181991,1.15627130061086,1.08023770278983,1.01566671302969
"YPL078C","ATP4",27.8541666666667,0.0625378204049877,0,1.9350634614789,1.88883057717665,1.84195546030504,1.71234679629939,1.73561565033019,1.78111118357092,1.91421977804086,2.12245493198718,2.12128383717542,1.97589114762637,1.95494091864891,1.6562944287974
"YPL037C","EGD1",22.8,0.0823005014145144,0,1.0706222033751,0.961361462518371,0.801681930801669,0.583449179983131,0.356320524946961,0.261491766204973,0.380271254491172,1.06217535835301,1.39658090694468,1.34261954777608,1.1557468724945,0.577772150086414
"YLR027C","AAT2",23.6,0.0841097425739399,0,4.33996680545699,4.48811169630133,4.66713425050917,4.90689346058096,4.98119480427968,4.93080983978386,4.60339194858193,4.52637134523822,4.49331510672682,4.50703728701361,4.20605413432429,4.58908815221623
"YDR394W","RPT3",17.65,0.0945825969519534,0,1.12212397956975,1.12378990884812,1.10735261584836,1.05238592678957,1.02358606553551,1.01170794935757,1.00708713320449,0.987408190648461,0.982891389932127,1.06191248302771,1.11205974401944,1.28742872926261
"YPL225W","YPL225W",27.4,0.129568834063931,0,0.44836644961639,0.422975895791345,0.393475303508539,0.351280930997099,0.347517075092143,0.385693798604641,0.468700953783069,0.586456692225925,0.596542306455557,0.507510201686907,0.469186641168877,0.287148805855878
"YER019W","ISC1",13.0888888888889,0.156154196031718,0,0.168233572892627,0.169273880158031,0.172342238245043,0.177246615769986,0.188522028976388,0.19228272088106,0.167350089470497,0.1482272570976,0.149865812744526,0.161548924223215,0.16801532488814,0.215223291921709
"YJL115W","ASF1",9.04166666666667,0.160577142185598,0,1.65676466789358,1.70239624843567,1.75596538631512,1.80319084451858,1.79201159417046,1.73181305711389,1.78227120849371,1.98506123680229,1.98552561360587,1.83358924445805,1.60753458539053,1.48115215449163
"YPR060C","ARO7",19.4,0.169261585534211,0,1.09825079396258,1.12628029872804,1.174926003395,1.29524763330676,1.38623023155862,1.35490631213183,1.19168599958808,0.964085395030583,0.904630765845189,1.01665309137493,1.08836447723952,1.65471337838839
