Name	RLS
asn1	"11,29,42,38,36,39,13,27,28,25,42,32,37,26,26,34,22,46,35,25,21,31,32,38,33,30,23,20,13,27,20,19,31,22,37,17,31,16,22,35,38,37,32,39,27,29,34,22,35,25,18,29,43,19,27,34,22,4,36,33,38,37,32,39,27,29,34,22,35,25,18,29,43,19,27,34,22,4,36,33,38,37,32,39,27,29"
asn2	"8,27,32,23,28,29,31,38,31,29,43,17,45,21,29,27,45,25,25,22,27,27,34,34,23"
asp1	"17,29,50,22,48,32,38,45,30,28,11,28,14,54,12,25,28,21,45,53,17,29,50,22,48"
asr1	"27,20,27,32,7"
ast1	"22,19,15,18,15,22,19,15,18,15"
ast2	"24,25,31,20,19"
atc1	"25,25,24,20,26"
ate1	"62,38,17,4,47"
atf1	"27,39,34,31,50,35,27,18,37,49,24,35,36,22,34,27,26,42,43,32,22,32,40,34,29"
atf2	"18,17,19,21,31"
atg1	"6,2,14,6,12,4,7,10,14,3,9,11,3,5,8,3,15,14,14,8,8,11,14,4,11,14,7,5,9,3,15,17,20,11,11,12,15,5,11,16,10,12,10,4,18,20,21,14,13,13,16,6,13,18,11,18,13,4,18,23,22,14,16,13,18,6,14,18,12,19,14,6,21,24,23,17,17,14,20,6,15,18,14,20,14,6,23,25,24,19,17,15,21,6,"
atg10	"30,24,28,37,25"
atg11	"20,31,30,33,48,26,36,35,39,20,14,22,25,27,25,30,1,56,8,41,19,15,28,26,23"
atg12	"38,25,26,19,29,16,37,33,34,33,25,30,23,29,41,29,40,19,26,35,40,29,30,32,41,18,22,36,10,34,25,42,31,45,34,19,34,18,19,26,39,21,23,25,23"
atg13	"10,24,17,32,46,24,42,19,32,36,24,30,48,13,45,39,7,22,13,15,20,16,23,42,35,28,32,14,40,25,32,42,20,35,20,20,25,28,17,41,22,11,26,27,45,13,46,40,25,33,35,20,20,12,21,29,14,35,21,17,30,6,42,29,41,31,52,44,33,17,22,38,43,28,13,48,24,22,31,35,44,54,27,27,15,27"
atg14	"31,33,38,17,30"
atg15	"23,17,22,43,20"
atg16	"43,44,20,40,29"
atg17	"16,23,22,22,9"
atg18	"10,13,13,30,25"
atg19	"45,18,36,46,29,25,32,36,28,14,33,27,33,17,28,37,38,13,37,35,32,34,15,47,33,16,25,31,25,17,27,38,30,51,41,31,40,43,32,16,35,40,30,42,18,9,47,25,35,29,35,43,29,36,47,28,5,50,43,21,39,30,34,16,36,43,23,39,29,17,17,29,37,39,28,23,23,30,29,18,24,34,34,21,33,23"
atg2	"24,26,28,36,57"
atg20	"58,11,17,50,53,53,53,14,26,26,25,57,32,44,30,54,48,25,28,28,20,31,18,49,38"
atg21	"3,19,16,26,5"
atg22	"32,46,28,16,12,20,31,17,36,19"
atg23	"42,15,18,22,43,11,19,22,29,22,37,44,10,23,48,11,19,22,29,22,42,15,18,22,43"
atg26	"22,27,24,17,33"
atg27	"29,27,21,21,25"
atg29	"23,16,16,29,32"
atg3	"35,23,55,41,4"
atg32	"19,20,27,16,19,18,2,26,20,22,25,10,9,7,18,25,20,11,20,27,8,14,46,25,7,25,35,26,2,29,19,23,21,18,8,38,11,9,9,29,17,29,35,26,27,23,18,13,19,37,23,22,42,24,28,18,17,25,55,34,48,32,29,15,39,26,30,28,24,35,48,46,29,26,17,48,48,22,37,26,6,29,36,42,18,22,28,25,3"
atg4	"13,22,15,38,41,22,13,43,37,34,43,39,44,27,33,26,40,44,39,39,35,16,28,16,22,30,14,27,20,24,26,24,38,19,20,21,9,39,15,13,22,15,38,41,22,13,43,37,34,43,39,44,27,33,26,40,44,39,39,35,16,28,16,22,30,14,27,20,24,26,24,38,19,20,21,9,39,15,20,20,25,27,18,24,18,12"
