ORF,H7.8,H10.7,H14,H17.8,H22,H26.8,H32.2,H38.4,H45.4,H53.3,H62.2,H72.3
YBL026W,17.28226577,16.03815474,14.72500075,13.00536939,10.56327185,11.81788696,13.22206026,15.31806781,17.3313642,17.84614243,16.990742,14.25370875
YBL027W,4002.367675,4084.917255,4171.776942,4288.148201,4464.747438,4364.565869,4288.057474,4154.755209,4039.501889,4000.879474,3966.006043,3912.399065
YBL032W,126.4448457,126.6302771,126.878697,126.8045823,124.8931631,128.6699037,149.4561389,170.77256,173.809835,159.5214031,133.8383089,96.01477872
YBL036C,65.26439818,65.21636194,63.59713411,59.88110614,52.38486426,40.33802981,30.14828697,22.78238891,26.59078491,26.45995429,27.65540289,29.95296368
YBL037W,4.35109912,4.78547654,5.323560294,6.100478368,7.356678947,7.730182519,7.412342603,6.602069216,5.661497604,5.187438815,4.613948013,3.834545141
YBL039C,66.32516649,66.58377334,67.18838486,68.36644735,70.73192749,72.60038793,73.64306598,74.08327319,73.04028977,75.16508401,79.46346783,87.00375266
YBL041W,107.069463,102.7173912,95.00514786,81.81614538,58.27244063,34.65619011,25.8702028,27.18782301,47.51103177,57.6947175,60.07414972,46.197285
YBL045C,639.2793782,626.3505471,617.1900899,610.7770134,612.3615434,657.205909,668.6862108,662.5352369,602.4387686,556.0399508,536.2961477,575.0941752
YBL047C,525.6303114,508.2284611,479.0433044,430.1898148,346.9059251,271.6071458,203.0200795,155.3114946,179.8264367,196.9126466,204.0377993,180.3521099
YBL050W,151.7561686,148.0472983,141.4306243,129.6867975,108.4076012,91.06569268,74.11880779,64.32612816,74.26984971,75.94726485,73.72013136,62.37100139
YBL051C,16.01799729,15.60313865,14.94902275,13.96154378,12.28473895,10.30604461,10.47698855,11.66524296,14.31984425,14.67509331,14.03153406,11.76051712
YBL056W,5.124043737,5.097732281,5.266592777,5.660141578,6.523964924,8.387823122,9.215780003,10.44240253,12.48766866,13.92696218,16.07451357,19.53570323
YBL057C,17.80317679,15.34987441,13.00159764,10.35427083,7.690895969,8.979672855,12.17343922,16.44602279,18.20988176,20.29459915,23.28730225,27.85563385
YBL072C,2919.262978,2945.131658,2991.715337,3076.598261,3244.952062,3297.989013,3388.220692,3423.800608,3300.821447,3348.573727,3429.872473,3543.261724
YBL075C,15.51268129,16.52684293,18.04245092,20.45376822,24.46720161,26.75883133,29.64011357,33.94789575,44.20881209,51.52864453,48.0274483,25.03474331
YBL076C,1474.61947,1482.34761,1500.43771,1534.639927,1602.334853,1659.731052,1697.506959,1717.654575,1692.688901,1723.242114,1761.540866,1806.396318
YBL079W,28.3025789,26.71187583,25.68188295,24.97940484,24.7076037,31.98367028,39.37473963,46.2132057,46.82132592,47.77334362,47.73253338,47.3611609
YBL087C,1104.892379,1103.023179,1089.299449,1056.501251,981.5958441,915.9339382,886.1968369,848.6225141,764.092215,731.2507906,748.1980825,847.4810048
